Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
SE,26/01/2023,GASOLINA,ALESAT,5.12
SE,02/01/2023,ETANOL,RAIZEN,4.08
SE,26/01/2023,GASOLINA,BRANCA,4.9
SE,03/01/2023,DIESEL S10,IPIRANGA,6.59
SE,12/01/2023,DIESEL,VIBRA ENERGIA,6.23
SE,18/01/2023,DIESEL S10,TOTALENERGIES,6.39
SE,23/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.16
SE,23/01/2023,ETANOL,PETROBRASIL,3.47
SE,24/01/2023,DIESEL S10,TOTALENERGIES,6.14
SE,04/01/2023,DIESEL S10,IPIRANGA,6.53
SE,02/01/2023,DIESEL,VIBRA ENERGIA,6.44
SE,20/01/2023,DIESEL,BRANCA,6.26
SE,24/01/2023,DIESEL,ALESAT,6.12
SE,24/01/2023,GNV,IPIRANGA,4.9
SE,02/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.48
SE,02/01/2023,ETANOL,PETROBRASIL,3.69
SE,18/01/2023,DIESEL S10,RAIZEN,6.46
SE,16/01/2023,GASOLINA,ATLÂNTICA,5.0
SE,26/01/2023,GASOLINA,IPIRANGA,5.0
SE,25/01/2023,GNV,BRANCA,4.94
SE,24/01/2023,GNV,BRANCA,4.78
SE,05/01/2023,GASOLINA,ALESAT,5.08
SE,16/01/2023,GASOLINA,RIO BRANCO,5.15
SE,25/01/2023,ETANOL,CIAPETRO,3.48
SE,04/01/2023,DIESEL,ALESAT,6.17
SE,05/01/2023,GNV,BRANCA,4.98
SE,05/01/2023,ETANOL,RIO BRANCO,3.96
SE,09/01/2023,ETANOL,PETROBRASIL,3.57
SE,17/01/2023,DIESEL S10,IPIRANGA,6.54
SE,26/01/2023,ETANOL,VIBRA ENERGIA,3.89
SE,16/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.22
SE,02/01/2023,GASOLINA,BRANCA,5.04
SE,02/01/2023,ETANOL,ATLÂNTICA,4.25
SE,05/01/2023,DIESEL,ALESAT,6.55
SE,19/01/2023,ETANOL,RIO BRANCO,3.99
SE,02/01/2023,DIESEL,IPIRANGA,6.5
SE,25/01/2023,DIESEL S10,ALESAT,6.41
