Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
N,04/01/2023,DIESEL S10,ATEM' S,7.24
N,02/01/2023,GASOLINA,ALESAT,5.15
N,10/01/2023,DIESEL,SABBÁ,6.73
N,04/01/2023,ETANOL,IPIRANGA,4.84
N,04/01/2023,GASOLINA,RAIZEN,5.34
N,10/01/2023,DIESEL S10,EQUADOR,6.75
N,18/01/2023,DIESEL S10,BRANCA,6.93
N,12/01/2023,DIESEL,IPIRANGA,6.64
N,19/01/2023,DIESEL S10,EQUADOR,7.49
N,25/01/2023,GASOLINA ADITIVADA,IPIRANGA,5.42
N,04/01/2023,DIESEL S10,VIBRA ENERGIA,6.7
N,02/01/2023,GASOLINA,SABBÁ,5.12
N,02/01/2023,GASOLINA ADITIVADA,SIMARELLI,5.29
N,12/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.29
N,09/01/2023,DIESEL S10,SIMARELLI,7.29
N,19/01/2023,ETANOL,BRANCA,4.68
N,03/01/2023,GASOLINA,ATEM' S,4.99
N,10/01/2023,ETANOL,VIBRA ENERGIA,4.57
N,09/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.39
N,23/01/2023,GASOLINA,ALESAT,5.13
N,02/01/2023,GASOLINA ADITIVADA,EQUADOR,5.06
N,10/01/2023,DIESEL S10,SABBÁ,6.75
N,10/01/2023,DIESEL S10,RAIZEN,6.99
N,16/01/2023,GASOLINA ADITIVADA,BRANCA,5.33
N,05/01/2023,DIESEL S10,IPIRANGA,6.86
N,03/01/2023,DIESEL,IPIRANGA,6.95
N,10/01/2023,GASOLINA,ATEM' S,5.12
N,10/01/2023,ETANOL,SABBÁ,5.5
N,23/01/2023,GASOLINA ADITIVADA,ATEM' S,4.99
