Regiao - Sigla,Data da Coleta,Produto,Bandeira,Valor de Venda
CO,03/01/2023,GNV,BRANCA,3.54
CO,18/01/2023,GASOLINA ADITIVADA,BRANCA,4.93
CO,06/01/2023,GASOLINA,VIBRA ENERGIA,4.79
CO,02/01/2023,GASOLINA,TAURUS,5.19
CO,23/01/2023,GASOLINA ADITIVADA,RAIZEN,5.16
CO,05/01/2023,GASOLINA,IPIRANGA,5.06
CO,18/01/2023,DIESEL S10,IPIRANGA,6.61
CO,03/01/2023,DIESEL S10,TAURUS,6.42
CO,04/01/2023,GASOLINA ADITIVADA,VIBRA ENERGIA,5.2
CO,04/01/2023,DIESEL,BRANCA,6.33
CO,03/01/2023,DIESEL,BRANCA,6.3
CO,12/01/2023,GASOLINA,BRANCA,4.86
CO,25/01/2023,GASOLINA,VIBRA ENERGIA,4.83
